,X,Y,Z,RSSI
44,21528.399569002428,-1799.04657946929,980.4,-101.0
45,21460.96140782581,-1835.798837961086,986.7999999999998,-107.0
46,21427.511210623696,-1854.980827626889,990.2,-104.0
47,21359.811288315108,-1891.87575528583,996.9999999999999,-101.0
48,21326.09345654637,-1910.2512115861932,1000.2,-102.0
49,21292.375902250773,-1928.6265166699757,1003.4000000000001,-100.0
50,21258.903523956273,-1945.9157724787008,1006.5999999999997,-102.0
51,21024.06728843982,-2074.8486474979536,1028.8,-90.0
52,20923.05464528638,-2129.8982551591967,1038.2,-98.0
53,20222.35403063706,-2518.4329393571516,1101.6000000000001,-92.0
54,20155.069293308778,-2555.1017072034033,1107.7999999999997,-100.0
55,20088.44443382522,-2591.410855491595,1113.0,-108.0
56,20055.77730830882,-2609.213752394017,1115.6,-101.0
57,20022.734141997174,-2628.174298804766,1118.4000000000003,-99.0
58,19989.159189409613,-2646.4719499831594,1121.4,-84.0
59,19955.321003069028,-2664.9130580847427,1124.8,-89.0
60,19921.746607631107,-2683.210405627923,1127.8,-104.0
61,19888.17249176636,-2701.5076008101832,1130.8,-90.0
62,19853.822052985157,-2720.2278758427224,1134.0,-96.0
63,19820.380261941347,-2738.4529567482487,1136.7999999999997,-103.0
64,19786.938752461858,-2756.6778842067247,1139.6000000000001,-97.0
65,19753.634340377706,-2775.780872709507,1142.8,-94.0
66,19719.929867996918,-2794.1491171123007,1146.0000000000002,-94.0
67,19686.62602085897,-2813.251820619,1149.2,-86.0
68,19653.053872483262,-2831.547958759419,1152.2000000000003,-93.0
69,19619.882357858907,-2850.578566570233,1155.1999999999998,-90.0
70,19585.66597738386,-2869.2258058494185,1158.2,-85.0
71,19552.231500601218,-2888.399745748788,1161.6,-93.0
72,19518.52871146752,-2906.7670957044484,1164.8,-103.0
73,19484.957970503718,-2925.0624820332328,1167.8,-88.0
74,19451.65610809301,-2944.164180254874,1170.9999999999998,-88.0
75,19417.954156021427,-2962.5310816574392,1174.2,-96.0
76,19384.2524815773,-2980.897831758524,1177.4,-102.0
77,19350.687916001774,-3000.1427286155763,1181.0,-87.0
78,19317.636601618018,-3019.10792880836,1184.8,-91.0
79,19283.672202626312,-3037.6178740009996,1188.4000000000003,-106.0
80,19250.108467462418,-3056.862356627816,1192.0,-91.0
81,19216.40817588237,-3075.228375981086,1195.2000000000003,-99.0
82,19149.526420610327,-3112.6305778118094,1202.3999999999999,-85.0
83,19082.66501578567,-3150.9746494601263,1209.2,-100.0
84,19016.312587887234,-3188.0884536792187,1215.6,-104.0
85,18982.746020030518,-3206.381626535141,1218.6,-100.0
86,18949.316578874532,-3225.5530283406083,1222.0000000000002,-106.0
87,18916.532094671682,-3244.372955286202,1225.4,-99.0
88,18882.834573955195,-3262.737510340576,1228.6000000000004,-106.0
89,18815.86015469181,-3301.1433711501727,1234.5999999999997,-97.0
90,18782.031690191125,-3319.579303574859,1238.0,-85.0
91,18748.73573290867,-3338.678035360846,1241.2,-106.0
92,18715.571852992187,-3357.7048024461815,1244.2,-80.0
93,18647.799426890837,-3394.639641915986,1250.2,-82.0
94,18614.63640495783,-3413.6659719517393,1253.1999999999998,-81.0
95,18547.510301643953,-3450.2485915006014,1259.1999999999998,-99.0
96,18513.68407128937,-3468.683329325871,1262.5999999999997,-90.0
97,18480.12171685292,-3486.9742591268173,1265.6000000000001,-77.0
98,18446.82830957062,-3506.0716927018993,1268.8,-106.0
99,18378.92862241333,-3543.075918061236,1275.0000000000002,-106.0
100,18344.859692264887,-3562.5960297907213,1278.3999999999999,-103.0
101,18310.785990069624,-3581.1656511158462,1281.2000000000003,-85.0
102,18276.84438786815,-3599.6632800620905,1283.8,-107.0
103,18242.3903354699,-3618.440186148699,1286.2000000000003,-107.0
104,18139.439989112183,-3674.546474105694,1291.8,-79.0
105,18069.650576431708,-3711.6274238389124,1294.4000000000003,-107.0
106,18033.918886303538,-3730.1474449028606,1295.1999999999998,-92.0
107,17962.583336472802,-3766.1645890091554,1295.9999999999998,-102.0
108,17889.310708453235,-3802.2841104267627,1296.1999999999998,-105.0
109,17815.14612886688,-3838.8895987261644,1295.8,-100.0
110,17739.02499329413,-3874.654774180199,1295.2,-94.0
111,17700.17636720987,-3892.0135212745054,1295.0,-91.0
112,17661.72868992288,-3910.106941430191,1294.8000000000002,-90.0
113,17542.98452661886,-3962.4273386970726,1294.0000000000002,-87.0
114,17502.580424587504,-3979.6801595389124,1293.6000000000001,-101.0
115,17462.308589718385,-3996.8608114359463,1293.0,-87.0
116,17421.241137419343,-4013.521667628329,1293.0,-85.0
117,17379.285888440434,-4031.619547990467,1293.0,-104.0
118,17337.062372253098,-4048.9102201402206,1292.8,-88.0
119,17171.150865912306,-4117.399789673604,1291.9999999999998,-79.0
120,17129.198344917768,-4135.495608246298,1292.0000000000002,-91.0
121,17086.977546492995,-4152.78417167334,1291.8,-95.0
122,17000.984985333256,-4188.206185409266,1291.8,-85.0
123,16914.34999786769,-4223.9778520834325,1291.7999999999997,-105.0
124,16704.026760677087,-4315.712044192669,1288.3999999999999,-103.0
125,16621.05413375289,-4356.160706539729,1283.1999999999996,-89.0
126,16497.4711001114,-4415.879289125838,1268.4000000000003,-95.0
127,16415.76674021058,-4455.63634777916,1256.4,-108.0
128,16375.65847452836,-4475.586173551742,1248.6000000000001,-106.0
129,16294.429530042857,-4517.9444918897625,1233.8,-96.0
130,16207.594016669973,-4557.636703466187,1218.0,-79.0
131,16163.731087041497,-4577.725289444514,1209.8,-107.0
132,16122.095453372525,-4599.46075787379,1202.0,-91.0
133,16036.07252149522,-4641.570373431864,1186.8000000000002,-107.0
134,15918.604832433266,-4709.397838858496,1164.2000000000003,-93.0
135,15834.040032228595,-4753.5735093096855,1149.5999999999997,-90.0
136,15613.803583330933,-4858.330658713646,1116.4,-94.0
137,15294.07183897284,-4985.831040401191,1083.2000000000003,-108.0
138,15248.209069693077,-4995.562862122617,1077.5999999999997,-86.0
139,14499.58634855406,-5189.831264919157,957.8,-84.0
140,14450.722477309419,-5196.424182655516,950.7999999999998,-99.0
141,14402.244102811792,-5203.760567593589,944.7999999999998,-107.0
142,14195.462486707616,-5232.482167937945,929.6,-84.0
143,13509.06381225945,-5431.868314172224,890.0,-82.0
144,13421.776313325105,-5468.928003219611,888.8,-92.0
145,1254.5896749632707,-1098.550119258156,522.8,-75.0
